wd_id,osm_relid,latlong_wgs84,ibge_id,name
332381,,Point(-62.617222222 -2.170277777),,Jaú National Park
334197,1825815,Point(-40.293611111 -20.336388888),3205200,Vila Velha
336088,,Point(-47.899164 -15.7835),,Estádio Nacional de Brasília
338191,315158,Point(-43.06 -18.473888888),3140605,Materlândia
338286,301440,Point(-35.625833333 -6.800833333),2502706,"Borborema, Paraíba"
338795,362295,Point(-39.495 -15.190833333),2918555,Jussari
339414,296778,Point(-51.405833333 -27.001944444),4218509,Treze Tílias
339532,1833466,Point(-40.515833333 -18.092777777),3203601,"Mucurici, Espírito Santo"
342682,334563,Point(-50.376944444 -17.395833333),5200134,Acreúna
347692,242514,Point(-53.770833333 -28.367777777),4302584,Bozano
347700,242660,Point(-53.776944444 -27.850833333),4317806,Santo Augusto
347722,242763,Point(-53.936944444 -27.786944444),4319737,São Valério do Sul
348206,242418,Point(-53.501944444 -28.292777777),4313904,Panambi
348237,242624,Point(-53.655833333 -28.422777777),4314308,Pejuçara
348258,242371,Point(-54.016944444 -27.882777777),4310413,Inhacorá
348265,242644,Point(-53.696944444 -28.063888888),4313334,Nova Ramada
368051,,Point(-43.19388889 -22.9475),,Dona Marta
368917,301221,Point(-37.351944444 -6.378888888),2405603,Jardim de Piranhas
368933,331468,Point(-50.670833333 0.595833333),1600253,Itaubal
369466,302644,Point(-44.237777777 -10.322777777),2205524,Júlio Borges
369679,332929,Point(-44.248888888 -6.025833333),2103505,Colinas
370048,314946,Point(-43.048888888 -20.106944444),3102308,Alvinópolis
370146,,Point(-48.507 -27.655),,Tavares River
371369,303907,Point(-37.053888888 -10.788888888),2806602,Santo Amaro das Brotas
371734,298324,Point(-49.333055555 -22.146666666),3504305,Avaí
371803,,Point(-46.609678 -23.585608),,Museu Paulista
372000,,Point(-43.221921 -22.973231),,Hipódromo da Gávea
372019,,Point(-56.84027778 -4.43944444),,Amazônia National Park
372406,297673,Point(-53.482777777 -26.03),4119251,Pinhal de São Bento
373705,362159,Point(-39.048888888 -14.788888888),2913606,Ilhéus
373783,332864,Point(-44.445833333 -4.212777777),2100436,Alto Alegre do Maranhão
374245,3049162,Point(-46.709713 -23.596073),,Morumbi District
374432,185562,Point(-49.672777777 -3.767777777),1508100,Tucuruí
374444,336738,Point(-49.065 -8.118888888),1711803,Juarina
374548,298237,Point(-47.595833333 -21.210833333),3551504,"Serrana, São Paulo"
374648,297646,Point(-48.328888888 -25.306944444),4109500,Guaraqueçaba
374669,301364,Point(-35.380833333 -6.852777777),2500809,Araçagi
374753,296603,Point(-52.141944444 -27.16),4201273,Arabutã
375274,315238,Point(-41.38 -19.36),3159506,Santa Rita do Itueto
375318,297605,Point(-54.093888888 -25.295),4115804,Medianeira
375650,242766,Point(-53.393888888 -27.358888888),4308508,Frederico Westphalen
375692,314968,Point(-44.747777777 -21.152777777),3130002,Ibituruna
375711,301270,Point(-38.093888888 -6.618888888),2513984,"São Francisco, Paraíba"
375907,297782,Point(-52.341944444 -22.735),4124202,Santo Antônio do Caiuá
376377,314928,Point(-43.340833333 -21.193888888),3141603,"Mercês, Minas Gerais"
376503,298452,Point(-48.111388888 -21.736111111),3501707,Américo Brasiliense
376878,,Point(-50.808327 -1.9424513),,Microrregião de Portel
377174,,Point(-44.396388888 -2.373055555),,VLS-1 V03
377255,301269,Point(-36.432777777 -7.635833333),2513943,São Domingos do Cariri
377601,298340,Point(-46.345 -23.528611111),3539806,Poá
378812,302742,Point(-41.867777777 -7.988888888),2201556,Bela Vista do Piauí
379152,301158,Point(-37.992777777 -5.84),2404903,Itaú
379306,,Point(-60.028056 -3.083056),,Vivaldão
